study_hours,attendance,previous_score,sleep_hours,extra_activities,internet_access,final_score,result
6.0,94.8,54.9,4.2,No,Yes,43.7,Pass
4.7,89.1,62.8,5.5,Yes,Yes,52.6,Pass
6.3,78.7,53.1,6.0,No,Yes,35.0,Fail
8.0,70.2,60.4,8.8,No,Yes,56.6,Pass
4.5,86.4,36.6,7.2,No,Yes,60.3,Pass
4.5,82.7,68.2,4.9,Yes,Yes,59.8,Pass
8.2,88.7,65.0,7.1,No,Yes,77.8,Pass
6.5,85.6,52.7,4.6,No,Yes,53.2,Pass
4.1,90.6,74.9,7.8,Yes,Yes,66.9,Pass
6.1,71.6,79.1,5.9,Yes,No,43.6,Pass
4.1,93.8,40.9,6.4,No,Yes,36.0,Fail
4.1,80.4,53.6,8.1,Yes,Yes,19.2,Fail
5.5,100.0,53.5,5.0,Yes,Yes,64.4,Pass
1.2,69.7,50.9,4.8,No,Yes,44.5,Pass
1.6,98.8,77.4,5.8,No,Yes,41.0,Pass
3.9,80.4,62.1,7.7,Yes,Yes,45.6,Pass
3.0,70.2,61.0,4.7,No,Yes,30.0,Fail
5.6,72.2,34.9,3.1,Yes,Yes,42.2,Pass
3.2,74.2,74.5,6.0,Yes,Yes,57.7,Pass
2.2,83.1,46.4,7.2,Yes,Yes,21.1,Fail
7.9,84.3,65.9,7.9,No,Yes,64.5,Pass
4.5,71.1,69.2,5.9,Yes,Yes,45.2,Pass
5.1,77.7,85.4,6.0,Yes,Yes,57.5,Pass
2.2,100.0,45.4,7.9,No,Yes,45.7,Pass
3.9,98.7,19.7,4.3,No,Yes,32.7,Fail
5.2,83.2,67.8,6.0,Yes,No,46.7,Pass
2.7,78.5,92.0,6.7,No,Yes,47.9,Pass
5.8,79.4,83.6,7.0,Yes,No,64.0,Pass
3.8,85.4,68.1,5.9,No,Yes,51.3,Pass
4.4,65.7,57.6,6.5,No,Yes,43.6,Pass
3.8,74.9,77.1,3.5,No,Yes,32.0,Fail
8.7,58.0,50.4,5.7,Yes,No,42.6,Pass
5.0,82.8,72.1,7.0,Yes,Yes,63.3,Pass
2.9,85.8,72.6,5.3,Yes,Yes,47.6,Pass
6.6,72.2,80.9,6.6,Yes,Yes,65.3,Pass
2.6,96.9,100.0,7.0,Yes,Yes,76.7,Pass
5.4,63.3,70.9,6.1,No,Yes,57.8,Pass
1.1,60.4,57.4,6.7,No,No,26.3,Fail
2.3,80.7,64.6,5.3,No,No,29.6,Fail
5.4,90.6,38.5,6.3,No,Yes,19.2,Fail
6.5,98.2,54.6,7.2,No,No,48.9,Pass
5.3,72.5,58.9,6.7,No,Yes,43.1,Pass
4.8,90.9,57.1,5.8,Yes,Yes,54.0,Pass
4.4,77.5,67.3,6.8,No,Yes,46.0,Pass
2.0,75.9,52.7,7.4,No,Yes,33.0,Fail
3.6,88.6,81.8,4.0,No,No,26.7,Fail
4.1,85.8,65.0,7.9,No,Yes,39.8,Fail
7.1,59.1,64.9,6.1,Yes,Yes,56.4,Pass
5.7,95.7,60.1,7.0,Yes,Yes,73.2,Pass
1.5,94.6,67.3,7.9,No,Yes,43.3,Pass
5.6,70.5,77.4,4.9,Yes,Yes,55.8,Pass
4.2,82.7,52.0,5.6,No,No,47.0,Pass
3.6,83.9,55.1,6.2,No,No,29.4,Fail
6.2,81.1,60.4,5.6,No,Yes,54.3,Pass
7.1,71.4,44.8,8.6,No,Yes,41.8,Pass
6.9,69.9,52.7,5.5,Yes,Yes,58.1,Pass
3.3,77.7,57.9,5.8,Yes,Yes,44.0,Pass
4.4,92.1,78.1,6.7,No,Yes,57.3,Pass
5.7,84.5,68.9,5.1,No,Yes,44.2,Pass
7.0,73.6,67.9,6.0,No,Yes,60.8,Pass
4.0,87.3,77.8,6.9,Yes,Yes,74.9,Pass
4.6,43.8,62.9,6.1,Yes,Yes,29.6,Fail
2.8,91.8,70.9,6.4,No,Yes,43.6,Pass
2.6,57.1,63.5,5.9,Yes,Yes,39.3,Fail
6.6,73.7,69.0,4.7,No,Yes,59.5,Pass
7.7,64.6,56.3,6.9,Yes,No,42.4,Pass
4.9,62.5,28.4,8.6,No,Yes,7.1,Fail
7.0,91.9,63.0,6.5,No,No,66.0,Pass
5.7,72.4,86.3,6.8,No,Yes,63.5,Pass
3.7,82.2,78.9,7.3,Yes,Yes,35.2,Fail
5.7,77.4,79.5,5.0,No,Yes,47.2,Pass
8.1,83.7,83.5,8.5,No,No,77.5,Pass
4.9,78.9,66.3,6.7,No,Yes,63.5,Pass
8.1,62.6,68.0,8.5,No,Yes,66.2,Pass
0.0,90.0,55.7,5.6,No,Yes,31.0,Fail
6.6,72.1,60.3,8.7,No,Yes,53.4,Pass
5.2,59.3,74.2,7.4,No,Yes,46.8,Pass
4.4,72.9,83.1,7.2,Yes,No,59.8,Pass
